handle,title,collections,image_position,is_featured,url,width,height,altText,has_alt
w21-royal-botha-silk-cravat,W21- ROYAL BOTHA SILK CRAVAT,cravats|red-maroon-silk-accessories|paisley-silk-accessories|wedding-silk-accessories|business-formal-silk-accessories|new-arrivals|gifts-for-him,0,true,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/royalbotha_1.jpg?v=1719832354,2000,2000,W21- ROYAL BOTHA SILK CRAVAT,yes
w21-royal-botha-silk-cravat,W21- ROYAL BOTHA SILK CRAVAT,cravats|red-maroon-silk-accessories|paisley-silk-accessories|wedding-silk-accessories|business-formal-silk-accessories|new-arrivals|gifts-for-him,1,false,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/W21-royalBotha_a943d21b-f2f1-43a4-be69-1cc2c08d7409.webp?v=1719832354,1174,1171,,no
floral-indigo-silk-scarf-pocket-square-set,FLORAL INDIGO SILK SCARF & POCKET SQUARE SET,gift-sets|grey-silver-silk-accessories|floral-silk-accessories|business-formal-silk-accessories|casual-daytime-silk-accessories|new-arrivals|gifts-for-him,0,true,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/98.jpg?v=1719832358,2000,2000,FLORAL INDIGO SILK SCARF & POCKET SQUARE SET,yes
floral-indigo-silk-scarf-pocket-square-set,FLORAL INDIGO SILK SCARF & POCKET SQUARE SET,gift-sets|grey-silver-silk-accessories|floral-silk-accessories|business-formal-silk-accessories|casual-daytime-silk-accessories|new-arrivals|gifts-for-him,1,false,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/FLORALINDIGO_1_8bd42bb2-c32b-4545-9af3-3e1623901b6f.jpg?v=1719832358,1174,1171,,no
w21-tropica-bird-silk-cravat,W21-TROPICA BIRD SILK CRAVAT,cravats|green-silk-accessories|floral-silk-accessories|casual-daytime-silk-accessories|new-arrivals,0,true,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/tropicabird.jpg?v=1719832430,2000,2000,W21-Tropica Bird SILK CRAVAT,yes
w21-tropica-bird-silk-cravat,W21-TROPICA BIRD SILK CRAVAT,cravats|green-silk-accessories|floral-silk-accessories|casual-daytime-silk-accessories|new-arrivals,1,false,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/W21-Tropical-Bird.webp?v=1719832430,1174,1171,,no
persian-caramel-silk-cravat,PERSIAN CARAMEL SILK CRAVAT,cravats|brown-silk-accessories|paisley-silk-accessories|wedding-silk-accessories|festive-eid-silk-accessories|new-arrivals|gifts-for-him,0,true,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/cravatmockup.jpg?v=1719832441,2000,2000,PERSIAN CARAMEL SILK CRAVAT,yes
persian-caramel-silk-cravat,PERSIAN CARAMEL SILK CRAVAT,cravats|brown-silk-accessories|paisley-silk-accessories|wedding-silk-accessories|festive-eid-silk-accessories|new-arrivals|gifts-for-him,1,false,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/persiancaramelpockectsquare.webp?v=1719832441,1174,1171,,no
w21-flamingo-silk-cravat,W21- FLAMINGO SILK CRAVAT,cravats|purple-silk-accessories|floral-silk-accessories|wedding-silk-accessories|casual-daytime-silk-accessories|new-arrivals|gifts-for-him,0,true,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/flamingo.jpg?v=1719832449,2000,2000,W21- Flamingo SILK CRAVAT,yes
w21-flamingo-silk-cravat,W21- FLAMINGO SILK CRAVAT,cravats|purple-silk-accessories|floral-silk-accessories|wedding-silk-accessories|casual-daytime-silk-accessories|new-arrivals|gifts-for-him,1,false,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/flamingopockets.webp?v=1719832449,1174,1171,,no
imperial-ajrak-silk-cravat,IMPERIAL AJRAK SILK CRAVAT,cravats|blue-silk-accessories|heritage-ajrak-silk-accessories|wedding-silk-accessories|festive-eid-silk-accessories|new-arrivals|gifts-for-him,0,true,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/imperialajrak.jpg?v=1719832481,2000,2000,IMPERIAL AJRAK SILK CRAVAT,yes
imperial-ajrak-silk-cravat,IMPERIAL AJRAK SILK CRAVAT,cravats|blue-silk-accessories|heritage-ajrak-silk-accessories|wedding-silk-accessories|festive-eid-silk-accessories|new-arrivals|gifts-for-him,1,false,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/IMPERIALAJRAKPOCKET.webp?v=1719832481,1174,1171,,no
traditional-ajrak-silk-cravat,TRADITIONAL AJRAK SILK CRAVAT,cravats|blue-silk-accessories|heritage-ajrak-silk-accessories|wedding-silk-accessories|festive-eid-silk-accessories|new-arrivals|gifts-for-him,0,true,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/traditionalajrak.jpg?v=1719832490,2000,2000,TRADITIONAL AJRAK SILK CRAVAT,yes
traditional-ajrak-silk-cravat,TRADITIONAL AJRAK SILK CRAVAT,cravats|blue-silk-accessories|heritage-ajrak-silk-accessories|wedding-silk-accessories|festive-eid-silk-accessories|new-arrivals|gifts-for-him,1,false,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/traditionalajrakpocketsquare.webp?v=1719832490,1174,1171,,no
blue-and-gold-chain-silk-scarf,BLUE AND GOLD CHAIN SILK SCARF,silk-scarves|blue-silk-accessories|novelty-silk-accessories|festive-eid-silk-accessories|new-arrivals,0,true,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/blue_goldchain.jpg?v=1719832504,3000,3000,BLUE AND GOLD CHAIN SILK SCARF,yes
maroon-diamond-silk-scarf-1,MAROON DIAMOND SILK SCARF,silk-scarves|red-maroon-silk-accessories|geometric-silk-accessories|wedding-silk-accessories|business-formal-silk-accessories|new-arrivals|gifts-for-him,0,true,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/maroondiamond.jpg?v=1719832508,3000,3000,,no
four-in-one-pastel-cream-silk-pocket-square,FOUR IN ONE PASTEL CREAM SILK POCKET SQUARE,pocket-squares|white-ivory-silk-accessories|wedding-silk-accessories|casual-daytime-silk-accessories|new-arrivals|four-in-one-pocket-squares|gifts-for-him,0,true,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/37-1_f5695fe1-a243-45d0-aac6-134ca96bf603.jpg?v=1719832516,1174,1171,FOUR IN ONE PASTEL CREAM SILK POCKET SQUARE,yes
four-in-one-pastel-cream-silk-pocket-square,FOUR IN ONE PASTEL CREAM SILK POCKET SQUARE,pocket-squares|white-ivory-silk-accessories|wedding-silk-accessories|casual-daytime-silk-accessories|new-arrivals|four-in-one-pocket-squares|gifts-for-him,1,false,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/37-3_e9b6f772-47cd-4695-bcc2-e7b974dd1b63.jpg?v=1719832516,1174,1171,,no
four-in-one-pastel-cream-silk-pocket-square,FOUR IN ONE PASTEL CREAM SILK POCKET SQUARE,pocket-squares|white-ivory-silk-accessories|wedding-silk-accessories|casual-daytime-silk-accessories|new-arrivals|four-in-one-pocket-squares|gifts-for-him,2,false,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/37-2_d4041f67-641a-466c-8257-a90780a31072.jpg?v=1719832516,1174,1171,,no
four-in-one-pastel-cream-silk-pocket-square,FOUR IN ONE PASTEL CREAM SILK POCKET SQUARE,pocket-squares|white-ivory-silk-accessories|wedding-silk-accessories|casual-daytime-silk-accessories|new-arrivals|four-in-one-pocket-squares|gifts-for-him,3,false,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/37-5.jpg?v=1719832516,2000,2000,,no
four-in-one-pastel-cream-silk-pocket-square,FOUR IN ONE PASTEL CREAM SILK POCKET SQUARE,pocket-squares|white-ivory-silk-accessories|wedding-silk-accessories|casual-daytime-silk-accessories|new-arrivals|four-in-one-pocket-squares|gifts-for-him,4,false,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/37-4.jpg?v=1719832516,2000,2000,,no
four-in-one-pastel-ice-blue-silk-pocket-square,FOUR IN ONE PASTEL ICE BLUE SILK POCKET SQUARE,pocket-squares|blue-silk-accessories|wedding-silk-accessories|casual-daytime-silk-accessories|new-arrivals|four-in-one-pocket-squares|gifts-for-him,0,true,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/38-1_b149dc42-945a-4844-be19-35da769c8118.jpg?v=1719832526,1174,1171,FOUR IN ONE PASTEL ICE BLUE SILK POCKET SQUARE,yes
four-in-one-pastel-ice-blue-silk-pocket-square,FOUR IN ONE PASTEL ICE BLUE SILK POCKET SQUARE,pocket-squares|blue-silk-accessories|wedding-silk-accessories|casual-daytime-silk-accessories|new-arrivals|four-in-one-pocket-squares|gifts-for-him,1,false,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/38-2_b66e43a5-cca7-46fe-ada9-2e4975ae188e.jpg?v=1719832527,1174,1171,,no
four-in-one-pastel-ice-blue-silk-pocket-square,FOUR IN ONE PASTEL ICE BLUE SILK POCKET SQUARE,pocket-squares|blue-silk-accessories|wedding-silk-accessories|casual-daytime-silk-accessories|new-arrivals|four-in-one-pocket-squares|gifts-for-him,2,false,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/38-3_0900e6a8-5d76-4365-b8be-20703bb4ac6c.jpg?v=1719832527,1174,1171,,no
four-in-one-pastel-ice-blue-silk-pocket-square,FOUR IN ONE PASTEL ICE BLUE SILK POCKET SQUARE,pocket-squares|blue-silk-accessories|wedding-silk-accessories|casual-daytime-silk-accessories|new-arrivals|four-in-one-pocket-squares|gifts-for-him,3,false,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/38-5.jpg?v=1719832527,2000,2000,,no
four-in-one-pastel-ice-blue-silk-pocket-square,FOUR IN ONE PASTEL ICE BLUE SILK POCKET SQUARE,pocket-squares|blue-silk-accessories|wedding-silk-accessories|casual-daytime-silk-accessories|new-arrivals|four-in-one-pocket-squares|gifts-for-him,4,false,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/38-4.jpg?v=1719832527,2000,2000,,no
four-in-one-pastel-pink-silk-pocket-square,FOUR IN ONE PASTEL PINK SILK POCKET SQUARE,pocket-squares|pink-peach-silk-accessories|wedding-silk-accessories|casual-daytime-silk-accessories|new-arrivals|four-in-one-pocket-squares|gifts-for-him,0,true,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/36-1_92542aa2-1fa5-4013-b0d6-a6074dfe8079.jpg?v=1719832537,1174,1171,FOUR IN ONE PASTEL PINK SILK POCKET SQUARE,yes
four-in-one-pastel-pink-silk-pocket-square,FOUR IN ONE PASTEL PINK SILK POCKET SQUARE,pocket-squares|pink-peach-silk-accessories|wedding-silk-accessories|casual-daytime-silk-accessories|new-arrivals|four-in-one-pocket-squares|gifts-for-him,1,false,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/36-3_bf8c7324-c927-4123-abd7-64a81eb13513.jpg?v=1719832537,1174,1171,,no
four-in-one-pastel-pink-silk-pocket-square,FOUR IN ONE PASTEL PINK SILK POCKET SQUARE,pocket-squares|pink-peach-silk-accessories|wedding-silk-accessories|casual-daytime-silk-accessories|new-arrivals|four-in-one-pocket-squares|gifts-for-him,2,false,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/36-2_9a6271ff-5340-4903-85d5-0dc8a258a6c0.jpg?v=1719832537,1174,1171,,no
four-in-one-pastel-pink-silk-pocket-square,FOUR IN ONE PASTEL PINK SILK POCKET SQUARE,pocket-squares|pink-peach-silk-accessories|wedding-silk-accessories|casual-daytime-silk-accessories|new-arrivals|four-in-one-pocket-squares|gifts-for-him,3,false,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/36-5.jpg?v=1719832537,2000,2000,,no
four-in-one-pastel-pink-silk-pocket-square,FOUR IN ONE PASTEL PINK SILK POCKET SQUARE,pocket-squares|pink-peach-silk-accessories|wedding-silk-accessories|casual-daytime-silk-accessories|new-arrivals|four-in-one-pocket-squares|gifts-for-him,4,false,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/36-4.jpg?v=1719832537,2000,2000,,no
four-in-one-pastel-green-silk-pocket-square,FOUR IN ONE PASTEL GREEN SILK POCKET SQUARE,pocket-squares|green-silk-accessories|wedding-silk-accessories|casual-daytime-silk-accessories|new-arrivals|four-in-one-pocket-squares|gifts-for-him,0,true,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/35-1_da1bf61b-654a-4fea-91a2-52e61fd17b83.jpg?v=1719832548,1174,1171,FOUR IN ONE PASTEL GREEN SILK POCKET SQUARE,yes
four-in-one-pastel-green-silk-pocket-square,FOUR IN ONE PASTEL GREEN SILK POCKET SQUARE,pocket-squares|green-silk-accessories|wedding-silk-accessories|casual-daytime-silk-accessories|new-arrivals|four-in-one-pocket-squares|gifts-for-him,1,false,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/35-2_3b640a98-f80a-41a3-889e-658d398a1b68.jpg?v=1719832548,1174,1171,,no
four-in-one-pastel-green-silk-pocket-square,FOUR IN ONE PASTEL GREEN SILK POCKET SQUARE,pocket-squares|green-silk-accessories|wedding-silk-accessories|casual-daytime-silk-accessories|new-arrivals|four-in-one-pocket-squares|gifts-for-him,2,false,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/35-5.jpg?v=1719832548,2000,2000,,no
four-in-one-pastel-green-silk-pocket-square,FOUR IN ONE PASTEL GREEN SILK POCKET SQUARE,pocket-squares|green-silk-accessories|wedding-silk-accessories|casual-daytime-silk-accessories|new-arrivals|four-in-one-pocket-squares|gifts-for-him,3,false,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/35-3_9831def1-2a55-4c85-8f59-1ac3c42cc8f9.jpg?v=1719832548,1174,1171,,no
four-in-one-pastel-green-silk-pocket-square,FOUR IN ONE PASTEL GREEN SILK POCKET SQUARE,pocket-squares|green-silk-accessories|wedding-silk-accessories|casual-daytime-silk-accessories|new-arrivals|four-in-one-pocket-squares|gifts-for-him,4,false,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/35-4.jpg?v=1719832548,2000,2000,,no
anchored-navy-pride-silk-scarf,ANCHORED NAVY PRIDE SILK SCARF,silk-scarves|green-silk-accessories|novelty-silk-accessories|wedding-silk-accessories|business-formal-silk-accessories|new-arrivals|gifts-for-him,0,true,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/ANCHOREDNAVYPRIDESILKSCARF.jpg?v=1719832656,3000,3000,ANCHORED NAVY PRIDE SILK SCARF,yes
anchored-navy-pride-silk-scarf,ANCHORED NAVY PRIDE SILK SCARF,silk-scarves|green-silk-accessories|novelty-silk-accessories|wedding-silk-accessories|business-formal-silk-accessories|new-arrivals|gifts-for-him,1,false,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/ANCHOREDNAVYPRIDESILKPOCKETSQUARE_8ade1b46-4e5e-4ad3-9bda-3f96ab9629fc.jpg?v=1719832656,1174,1171,,no
aqua-botanical-bliss-silk-scarf,AQUA BOTANICAL BLISS SILK SCARF,silk-scarves|green-silk-accessories|geometric-silk-accessories|wedding-silk-accessories|casual-daytime-silk-accessories|new-arrivals|gifts-for-him,0,true,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/AQUABOTANICALBLISSSILKSCARF-1.jpg?v=1719832661,3000,3000,AQUA BOTANICAL BLISS SILK SCARF,yes
aqua-botanical-bliss-silk-scarf,AQUA BOTANICAL BLISS SILK SCARF,silk-scarves|green-silk-accessories|geometric-silk-accessories|wedding-silk-accessories|casual-daytime-silk-accessories|new-arrivals|gifts-for-him,1,false,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/AQUABOTANICALBLISSSILKPOCKETSQUARE_7d3d9d81-a274-4796-a600-453b57390cd6.jpg?v=1719832661,1174,1171,,no
black-with-white-polka-silk-scarf,BLACK WITH WHITE POLKA SILK SCARF,silk-scarves|black-silk-accessories|polka-dot-silk-accessories|wedding-silk-accessories|business-formal-silk-accessories|new-arrivals|gifts-for-him,0,true,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/polkadots.jpg?v=1719832672,3000,3000,BLACK WITH WHITE POLKA SILK SCARF,yes
black-with-white-polka-silk-scarf,BLACK WITH WHITE POLKA SILK SCARF,silk-scarves|black-silk-accessories|polka-dot-silk-accessories|wedding-silk-accessories|business-formal-silk-accessories|new-arrivals|gifts-for-him,1,false,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/BLACKWITHWHITEPOLKASILKPOCKETSQUARE_d53b5ce8-a91d-4fe4-b25f-882e166f19e3.jpg?v=1719832672,1174,1171,,no
diamond-maze-silk-scarf,DIAMOND MAZE SILK SCARF,silk-scarves|blue-silk-accessories|geometric-silk-accessories|wedding-silk-accessories|festive-eid-silk-accessories|new-arrivals|gifts-for-him,0,true,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/DIAMONDMAZESILKSCARF.jpg?v=1719832683,3000,3000,DIAMOND MAZE SILK SCARF,yes
houndstooth-silk-scarf,HOUNDSTOOTH SILK SCARF,silk-scarves|black-silk-accessories|houndstooth-silk-accessories|business-formal-silk-accessories|casual-daytime-silk-accessories|new-arrivals,0,true,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/houndstooth.jpg?v=1719832691,3000,3000,HOUNDSTOOTH SILK SCARF,yes
houndstooth-silk-scarf,HOUNDSTOOTH SILK SCARF,silk-scarves|black-silk-accessories|houndstooth-silk-accessories|business-formal-silk-accessories|casual-daytime-silk-accessories|new-arrivals,1,false,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/HOUNDSTOOTHSILKPOCKETSQUARE_eea84fc6-a95e-4968-954f-e18377cd8a82.jpg?v=1719832691,1174,1171,,no
kaleidoscopic-geometric-fusion-silk-scarf,KALEIDOSCOPIC GEOMETRIC FUSION SILK SCARF,silk-scarves|white-ivory-silk-accessories|floral-silk-accessories|wedding-silk-accessories|casual-daytime-silk-accessories|new-arrivals|gifts-for-him,0,true,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/KALEIDOSCOPICGEOMETRICFUSIONSILKSCARF.jpg?v=1719832697,3000,3000,KALEIDOSCOPIC GEOMETRIC FUSION SILK SCARF,yes
kaleidoscopic-geometric-fusion-silk-scarf,KALEIDOSCOPIC GEOMETRIC FUSION SILK SCARF,silk-scarves|white-ivory-silk-accessories|floral-silk-accessories|wedding-silk-accessories|casual-daytime-silk-accessories|new-arrivals|gifts-for-him,1,false,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/KALEIDOSCOPICGEOMETRICFUSIONSILKPOCKETSQUARE_013fb1b7-2b37-4e22-883a-c05587a16fa0.jpg?v=1719832697,1174,1171,,no
maroon-white-tartan-silk-scarf,MAROON WHITE TARTAN SILK SCARF,silk-scarves|red-maroon-silk-accessories|geometric-silk-accessories|wedding-silk-accessories|business-formal-silk-accessories|new-arrivals|gifts-for-him,0,true,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/MAROONWHITETARTANSILKSCARF_83223148-bf43-497d-a345-b2bf5c8a7c88.jpg?v=1719832703,3000,3000,MAROON WHITE TARTAN SILK SCARF,yes
maroon-white-tartan-silk-scarf,MAROON WHITE TARTAN SILK SCARF,silk-scarves|red-maroon-silk-accessories|geometric-silk-accessories|wedding-silk-accessories|business-formal-silk-accessories|new-arrivals|gifts-for-him,1,false,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/MAROONWHITETARTANSILKSCARF.jpg?v=1719832703,3000,3000,,no
